Prueba,Eje x,Eje y,Eje z
204,-26.25,4.88,11.66
205,-30.33,4.46,-4.15
206,-29.24,2.2,-20.57
207,-24.78,0.73,-34.97
208,-29.11,-0.12,-45.9
209,-38.27,-2.75,-54.57
210,-42.79,-5.86,-62.5
211,-41.63,-7.51,-67.93
212,-46.08,-8.61,-71.04
213,-55.36,-9.58,-76.78
214,-52.12,-10.19,-86.67
215,-45.1,-9.46,-97.47
216,-60.61,-10.01,-107.12
217,-81.36,-12.57,-117.25
218,-90.03,-14.59,-127.99
219,-92.53,-17.21,-138.73
220,-105.59,-19.41,-151.49
221,-140.14,-24.23,-163.21
222,-182.56,-30.82,-171.02
223,-192.87,-37.35,-169.43
224,-178.96,-38.27,-168.09
225,-152.16,-40.16,-166.93
226,-117.98,-42.54,-166.32
227,-79.41,-45.47,-166.56
228,-38.88,-48.65,-168.4
229,4.88,-50.84,-169.62
230,57.5,-51.21,-170.53
231,97.05,-49.32,-173.46
232,104.0,-45.53,-176.27
233,76.9,-39.98,-177.0
234,28.32,-35.34,-174.56
235,-13.92,-33.26,-171.63
236,-28.69,-30.7,-171.69
237,-29.48,-27.28,-171.94
238,-31.31,-25.57,-172.55
239,-31.86,-26.49,-174.19
240,-31.86,-27.4,-175.23
241,-37.96,-26.98,-175.78
242,-52.0,-26.61,-175.17
243,-65.06,-26.37,-173.4
244,-79.22,-24.35,-170.41
245,-102.11,-23.44,-167.6
246,-115.48,-27.16,-167.3
247,-97.84,-31.92,-170.17
248,-73.73,-34.18,-172.61
249,-66.53,-34.61,-172.3
250,-72.08,-34.12,-168.21
251,-76.78,-32.78,-161.68
252,-79.77,-28.75,-154.42
253,-82.03,-26.18,-148.99
254,-76.6,-28.44,-147.09
255,-66.89,-31.98,-146.12
256,-61.77,-33.57,-144.53
257,-58.29,-33.57,-142.7
258,-54.08,-32.65,-138.85
259,-63.54,-28.87,-132.81
260,-80.93,-24.05,-128.6
261,-85.63,-18.8,-127.99
262,-72.14,-15.93,-130.55
263,-57.56,-16.48,-132.69
264,-51.7,-17.94,-130.92
265,-51.7,-18.07,-127.01
266,-55.6,-20.14,-123.17
267,-59.63,-22.77,-123.6
268,-60.18,-23.07,-124.08
