Prueba,Eje x,Eje y,Eje z
201,4.33,-84.84,-3.66
202,12.63,-81.79,-2.81
203,15.01,-73.18,2.62
204,4.88,-59.81,8.18
205,-3.54,-46.51,13.31
206,-6.16,-36.87,15.56
207,-17.46,-32.35,13.92
208,-29.36,-38.64,1.77
209,-37.29,-53.83,-20.81
210,-30.88,-62.93,-39.25
211,-25.88,-57.92,-44.07
212,-25.21,-47.49,-39.92
213,-30.15,-32.35,-37.66
214,-42.11,-21.67,-42.11
215,-51.57,-18.8,-50.48
216,-60.91,-20.75,-56.88
217,-77.88,-25.7,-59.14
218,-92.22,-29.48,-62.5
219,-90.7,-31.43,-69.27
220,-84.35,-31.8,-78.31
221,-83.31,-33.81,-89.11
222,-80.99,-34.67,-99.18
223,-73.67,-34.61,-106.26
224,-66.16,-33.75,-110.53
225,-56.82,-30.4,-113.04
226,-49.68,-28.02,-115.36
227,-45.59,-27.28,-118.84
228,-40.16,-26.49,-122.31
229,-37.72,-24.17,-124.57
230,-38.57,-20.32,-127.26
231,-44.31,-15.08,-131.04
232,-49.68,-14.65,-135.13
233,-51.94,-16.24,-141.54
234,-50.84,-19.35,-149.11
235,-45.65,-23.13,-155.82
236,-41.14,-25.39,-159.91
237,-41.38,-23.62,-162.6
238,-44.8,-16.72,-162.66
239,-40.53,-9.4,-159.24
240,-27.1,-3.72,-154.85
241,-13.06,2.26,-152.1
242,-3.36,8.42,-151.0
243,-3.91,15.69,-149.48
244,-13.43,23.93,-147.58
245,-31.31,30.7,-144.78
246,-46.02,32.35,-142.33
247,-49.99,27.65,-141.48
248,-48.16,22.16,-139.22
249,-46.94,13.67,-136.54
250,-48.52,2.2,-134.09
251,-57.56,-8.42,-130.62
252,-58.41,-17.94,-129.03
253,-44.37,-24.54,-129.03
254,-26.31,-28.44,-129.33
255,-12.51,-29.36,-129.39
256,-0.55,-25.45,-130.8
257,18.8,-17.4,-134.28
258,33.45,-6.9,-137.33
259,30.33,5.43,-137.63
260,18.13,14.71,-135.86
261,10.68,18.13,-132.45
262,12.45,19.71,-129.03
263,8.97,21.61,-123.96
264,2.75,23.07,-119.32
265,-1.95,24.41,-115.97
266,-10.74,25.21,-112.92
267,-16.17,23.32,-111.27
268,-3.78,21.24,-112.79
269,14.95,23.07,-116.09
270,31.68,27.71,-118.77
271,37.9,33.63,-116.82
272,40.41,38.88,-112.37
273,51.51,42.54,-109.07
274,61.52,43.82,-106.63
275,65.43,43.27,-104.49
276,63.54,42.66,-102.97
277,60.85,42.18,-101.26
278,60.0,41.26,-98.94
279,58.04,40.47,-95.58
280,55.05,39.98,-90.64
281,51.94,38.76,-83.86
282,54.57,35.95,-77.82
283,64.76,32.47,-74.1
284,71.96,30.4,-68.79
285,72.51,29.54,-61.77
286,71.04,29.24,-55.79
287,66.22,30.21,-49.99
288,57.5,32.1,-40.83
289,57.01,31.86,-32.23
290,67.81,28.69,-27.04
291,79.41,25.39,-23.38
292,83.5,22.46,-21.48
293,84.84,19.04,-21.18
294,88.01,16.36,-21.67
295,93.02,13.98,-21.91
296,98.27,11.78,-20.32
297,94.67,9.52,-17.03
298,89.05,7.02,-14.4
299,85.27,6.29,-12.02
300,81.48,6.29,-9.64
301,80.63,6.04,-4.94
302,84.35,5.62,0.49
303,88.68,5.74,6.84
304,84.05,5.62,11.72
305,76.54,4.58,13.98
306,76.29,1.71,14.16
307,82.28,-3.54,12.88
308,90.21,-8.67,11.29
309,95.09,-12.88,11.41
310,95.03,-15.81,14.34
311,90.39,-16.66,20.39
312,80.87,-14.95,29.54
313,63.78,-11.47,40.41
314,43.21,-8.91,50.72
315,37.41,-8.97,56.64
316,53.65,-12.15,57.68
317,73.67,-16.17,55.42
318,88.2,-19.84,51.94
319,93.99,-21.73,49.13
320,88.87,-22.34,47.91
321,80.63,-21.79,48.58
322,71.66,-20.57,50.78
323,56.7,-18.55,53.71
324,42.05,-17.21,55.36
325,34.36,-17.03,56.52
326,28.99,-19.78,57.43
327,25.51,-24.29,59.27
328,24.11,-27.83,61.71
329,26.49,-32.35,62.38
330,29.48,-33.51,62.62
331,31.25,-31.92,63.35
332,35.83,-31.8,64.03
333,41.32,-32.78,64.94
334,44.98,-35.1,65.86
335,45.04,-38.02,66.04
336,42.97,-41.5,64.82
337,40.71,-43.64,64.39
338,40.47,-43.82,64.76
339,40.16,-43.09,65.49
340,39.98,-42.42,65.86
341,41.63,-41.32,65.8
342,44.25,-40.89,63.96
343,46.75,-39.67,62.01
344,50.48,-38.15,59.88
345,53.41,-35.46,57.07
346,58.17,-33.81,54.08
347,65.73,-34.55,52.37
348,65.55,-36.01,53.83
349,58.65,-36.56,57.74
350,52.73,-36.5,61.52
351,45.23,-35.28,65.43
352,36.07,-33.45,68.79
353,31.43,-31.37,71.72
354,30.94,-29.42,74.46
355,30.7,-26.67,77.15
356,36.25,-23.99,79.83
357,46.45,-20.69,83.8
358,52.37,-16.3,89.05
359,55.73,-12.45,95.4
360,62.38,-8.12,102.05
361,70.74,-4.15,107.3
362,67.87,-2.99,112.06
363,42.97,-4.21,116.46
364,24.54,-5.68,116.82
365,25.15,-7.93,113.95
366,28.38,-12.15,110.47
367,30.03,-19.23,105.29
368,29.79,-30.76,96.19
369,28.56,-41.99,86.3
370,25.57,-46.94,79.1
371,19.59,-47.61,74.77
372,15.26,-47.97,70.43
373,10.68,-48.1,65.92
374,4.46,-48.16,62.07
375,-2.14,-47.42,58.72
376,-6.35,-46.2,54.87
377,-6.1,-45.47,50.78
378,-3.54,-46.26,46.94
379,0.18,-47.91,42.42
380,5.49,-49.62,38.45
381,6.41,-49.5,37.9
382,5.0,-47.67,40.04
383,-3.23,-44.56,44.62
384,-11.84,-40.77,50.66
385,-15.81,-37.35,57.13
386,-20.69,-34.55,63.11
387,-25.88,-33.39,67.99
388,-27.89,-33.14,71.53
389,-23.8,-34.97,69.58
390,-16.17,-38.64,60.24
391,-7.75,-42.3,45.23
392,1.46,-44.25,30.46
393,5.92,-45.29,21.24
394,5.62,-45.72,18.13
395,1.16,-45.1,18.68
396,-5.43,-43.09,21.97
397,-10.31,-39.73,26.61
398,-10.74,-36.8,30.33
399,-8.61,-35.1,29.85
400,-6.84,-36.68,25.45
401,-4.15,-40.59,18.74
402,-0.43,-45.29,11.47
403,2.81,-49.74,5.43
404,6.16,-52.73,0.73
405,5.31,-53.77,-2.44
406,4.09,-53.96,-4.52
407,6.65,-52.98,-5.92
